SECTION,COMPTE,LIBELLE,CATEGORIE,PREVISIONS_2024,REALISATIONS_2024,PROPOSITIONS_2025,TAUX_EXECUTION_2024,EVOLUTION_2024_2025_ABSOLUE,EVOLUTION_2024_2025_RELATIVE
DEPENSES,21828-2021004,Autres matériels de transport,IMMOBILISATIONS CORPORELLES,0.00,2862.00,0.00,0.00,0.00,0.00
DEPENSES,21838-0021,Matériel informatique,IMMOBILISATIONS CORPORELLES,11700.00,9762.14,6937.86,83.44,-4762.14,-40.70
DEPENSES,21848-0021,Matériel de bureau et mobilier,IMMOBILISATIONS CORPORELLES,7550.00,7051.95,50498.05,93.40,42948.05,568.79
DEPENSES,2188,Autres,IMMOBILISATIONS CORPORELLES,15600.00,83217.29,15000.00,533.44,-600.00,-3.85
DEPENSES,2188-2021004,Autres,IMMOBILISATIONS CORPORELLES,15000.00,13135.75,1864.25,87.57,-13135.75,-87.57
DEPENSES,2313,Constructions,IMMOBILISATIONS EN COURS,70000.00,0.00,773645.00,0.00,703645.00,1005.21
DEPENSES,2316,Restauration des biens historiques et culture,IMMOBILISATIONS EN COURS,0.00,0.00,21600.00,0.00,21600.00,0.00
DEPENSES,275,Dépôts et cautionnements versés,AUTRES IMMOBILISATIONS FINANCIERES,500.00,0.00,0.00,0.00,-500.00,-100.00
DEPENSES,27638,CREANCES SUR DES COLLECTIVITES PUBLIQUES - CO,AUTRES IMMOBILISATIONS FINANCIERES,275841.88,0.00,500000.00,0.00,224158.12,81.23
DEPENSES,192,Plus ou moins-values sur cessions d'immobilis,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,37313.96,26928.63,0.00,72.16,-37313.96,-100.00
DEPENSES,2031,Frais d'études,OPERATIONS PATRIMONIALES,50000.00,0.00,0.00,0.00,-50000.00,-100.00
DEPENSES,2111,Terrains nus,OPERATIONS PATRIMONIALES,0.00,4200.00,400000.00,0.00,400000.00,0.00
DEPENSES,238,Avances versées sur commandes d'immobilisatio,OPERATIONS PATRIMONIALES,50000.00,0.00,0.00,0.00,-50000.00,-100.00
DEPENSES,001,Solde d'exécution de la section d'investissem,DEFICIT D'INVESTISSEMENT REPORTE,1216147.42,1216147.42,0.00,100.00,-1216147.42,-100.00
RECETTES,10222,FCTVA,APPORTS DOTATIONS ET RESERVES,132241.00,58849.67,283986.00,44.50,151745.00,114.74
RECETTES,10226,Taxe d'aménagement,APPORTS DOTATIONS ET RESERVES,0.00,1552.14,5000.00,0.00,5000.00,0.00
RECETTES,1068,Excédents de fonctionnement capitalisés,APPORTS DOTATIONS ET RESERVES,817171.28,817171.28,477195.26,100.00,-339976.02,-41.62
RECETTES,1322,Régions,SUBVENTIONS D'EQUIPEMENT,626793.20,427781.08,199012.00,68.25,-427781.08,-68.25
RECETTES,1323,Départements,SUBVENTIONS D'EQUIPEMENT,153550.00,0.00,153550.00,0.00,0.00,0.00
RECETTES,1328,Autres,SUBVENTIONS D'EQUIPEMENT,0.00,202.65,0.00,0.00,0.00,0.00
RECETTES,13461,Dotation d'équipement des territoires ruraux,SUBVENTIONS D'EQUIPEMENT,1301042.56,589001.48,712041.00,45.26,-589001.48,-45.26
RECETTES,165,Dépôts et cautionnements reçus,EMPRUNTS ET DETTES ASSIMILEES,1500.00,0.00,1500.00,0.00,0.00,0.00
RECETTES,024,Produits des cessions d'immobilisations,PRODUITS DES CESSIONS,69849.00,0.00,396111.00,0.00,326262.00,467.20
RECETTES,021,Virement de la section de fonctionnement,VIREMENT DE LA SECTION DE FONCTIONNEMENT,886736.01,0.00,1578689.00,0.00,691952.99,78.04
RECETTES,192,Plus ou moins-values sur cessions d'immobilis,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,6201.72,6201.72,0.00,100.00,-6201.72,-100.00
RECETTES,21318,Autres bâtiments publics,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,68798.28,68798.28,0.00,100.00,-68798.28,-100.00
RECETTES,2138,Autres constructions,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,10386.33,0.00,0.00,0.00,-10386.33,-100.00
RECETTES,215731,Matériel roulant,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,27737.63,27737.63,0.00,100.00,-27737.63,-100.00
RECETTES,215738,Autre matériel et outillage de voirie,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,4179.00,4179.00,0.00,100.00,-4179.00,-100.00
RECETTES,2175738,Autre matériel et outillage de voirie,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,8162.00,8162.00,0.00,100.00,-8162.00,-100.00
RECETTES,280415343,Projets d'infrastructures d'intérêt national,OPER. D'ORDRE DE TRANSFERT ENTRE SECTIONS,10923.00,10923.00,60923.00,100.00,50000.00,457.78
RECETTES,2031,Frais d'études,OPERATIONS PATRIMONIALES,50000.00,4200.00,400000.00,8.40,350000.00,700.00
RECETTES,238,Avances versées sur commandes d'immobilisatio,OPERATIONS PATRIMONIALES,50000.00,0.00,0.00,0.00,-50000.00,-100.00
RECETTES,001,Solde d'exécution de la section d'investissem,EXCEDENT ANTERIEUR REPORTE,0.00,0.00,199457.21,0.00,199457.21,0.00
TOTAUX,TOTAL_DEPENSES,TOTAL DES DEPENSES D'INVESTISSEMENT,TOTAL,4225271.01,1825302.72,4467464.47,43.20,242193.46,5.73
TOTAUX,TOTAL_RECETTES,TOTAL DES RECETTES D'INVESTISSEMENT,TOTAL,4225271.01,2024759.93,4467464.47,47.91,242193.46,5.73
TOTAUX,SOLDE,SOLDE (Recettes-Dépenses),TOTAL,0.00,199457.21,0.00,0.00,0.00,0.00
